               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.042772,             0.04785,            0.025567,             0.80484,             0.16421,             0.18597,             0.09544,            0.055166,            0.042032,             0.05294,            0.007888,            0.007888,            0.007888
                  66,            0.039618,            0.048927,            0.026368,             0.85965,              0.1198,             0.17156,            0.091939,            0.055255,             0.04151,             0.05328,            0.007855,            0.007855,            0.007855
                  67,            0.044105,            0.045006,            0.027201,             0.82654,             0.10157,             0.16514,            0.085791,            0.054704,            0.042048,            0.052577,            0.007822,            0.007822,            0.007822
                  68,            0.042443,            0.048297,            0.025985,              0.6816,             0.13379,             0.17913,            0.082698,            0.056389,            0.041393,            0.052503,            0.007789,            0.007789,            0.007789
                  69,             0.04268,            0.047915,            0.026775,             0.87677,            0.098659,             0.16556,            0.091863,            0.055444,             0.04168,            0.052562,            0.007756,            0.007756,            0.007756
                  70,            0.042717,            0.047093,            0.026735,             0.65972,             0.14543,             0.17717,            0.089796,            0.055501,            0.043091,             0.05274,            0.007723,            0.007723,            0.007723
                  71,            0.040088,            0.045486,            0.024445,             0.68692,             0.16593,             0.20019,             0.10004,            0.055582,            0.043519,             0.05233,             0.00769,             0.00769,             0.00769
                  72,            0.041734,            0.049305,            0.024389,             0.70844,             0.16601,             0.18951,             0.09666,            0.056964,            0.042398,            0.051416,            0.007657,            0.007657,            0.007657
                  73,            0.041161,            0.042988,            0.026097,             0.90759,             0.13228,             0.18871,            0.099326,              0.0561,             0.04373,            0.051764,            0.007624,            0.007624,            0.007624
                  74,            0.041561,            0.047166,            0.023264,             0.76997,             0.15129,             0.18864,            0.095057,            0.056507,            0.041405,            0.051627,            0.007591,            0.007591,            0.007591
                  75,            0.041955,            0.043415,            0.024119,             0.64726,             0.16421,              0.1821,            0.092845,            0.055727,            0.041873,            0.052237,            0.007558,            0.007558,            0.007558
                  76,            0.040745,            0.048204,            0.023406,             0.64952,             0.16384,             0.17559,            0.086332,            0.055724,            0.042105,            0.052279,            0.007525,            0.007525,            0.007525
                  77,            0.041579,            0.041818,            0.024976,             0.60956,             0.17694,             0.17588,            0.091757,            0.056714,            0.041496,            0.051671,            0.007492,            0.007492,            0.007492
                  78,            0.042994,            0.043404,             0.02319,             0.63156,             0.16991,              0.1623,            0.078239,            0.056115,            0.042887,            0.051086,            0.007459,            0.007459,            0.007459
                  79,            0.041219,            0.046873,            0.023887,             0.62192,             0.16798,             0.16503,            0.094079,            0.055452,            0.042841,            0.051295,            0.007426,            0.007426,            0.007426
                  80,            0.039076,            0.040408,             0.02227,              0.6378,             0.18544,             0.17095,            0.091044,            0.055817,            0.044385,            0.051395,            0.007393,            0.007393,            0.007393
                  81,            0.039598,            0.044393,            0.021454,             0.62668,             0.16317,             0.15523,             0.08218,            0.057342,            0.042933,             0.05079,             0.00736,             0.00736,             0.00736
                  82,            0.040055,            0.046718,            0.022215,             0.62072,             0.16407,             0.17336,            0.092147,            0.055275,            0.041738,            0.051331,            0.007327,            0.007327,            0.007327
                  83,            0.039574,            0.046177,            0.022512,             0.71694,               0.136,             0.17971,            0.097406,            0.056651,             0.04518,            0.051908,            0.007294,            0.007294,            0.007294
                  84,            0.040448,            0.039804,            0.022015,             0.63416,             0.17019,             0.18567,             0.09139,            0.055493,            0.045791,            0.051434,            0.007261,            0.007261,            0.007261
                  85,             0.04125,            0.041337,            0.022866,             0.67847,             0.15626,             0.18287,            0.090333,            0.055996,            0.044742,            0.050288,            0.007228,            0.007228,            0.007228
                  86,            0.039627,            0.038986,            0.022167,             0.64192,             0.16317,             0.17655,            0.097849,             0.05545,            0.045053,            0.050839,            0.007195,            0.007195,            0.007195
                  87,            0.040818,            0.044124,             0.02384,              0.6643,             0.18193,             0.18481,            0.090676,            0.054923,            0.044704,            0.051058,            0.007162,            0.007162,            0.007162
                  88,            0.039252,            0.045181,            0.024362,             0.55127,             0.16587,             0.18446,            0.088335,            0.055954,            0.042019,            0.050564,            0.007129,            0.007129,            0.007129
                  89,            0.040384,            0.042129,            0.021331,             0.70122,             0.16688,              0.1899,             0.09452,            0.055733,            0.043207,            0.049263,            0.007096,            0.007096,            0.007096
                  90,            0.039727,            0.042935,            0.021857,             0.62715,             0.17734,             0.18989,            0.095359,            0.057326,            0.041892,            0.048166,            0.007063,            0.007063,            0.007063
                  91,            0.039557,            0.042096,            0.021439,             0.72417,             0.18231,             0.20654,             0.10242,            0.055364,            0.042341,            0.048029,             0.00703,             0.00703,             0.00703
                  92,            0.039834,            0.042339,            0.019939,             0.75825,              0.1836,             0.20835,             0.10862,            0.055531,            0.042201,            0.047418,            0.006997,            0.006997,            0.006997
                  93,            0.039738,            0.040312,            0.022293,             0.72321,             0.17975,             0.20014,             0.10236,            0.056393,             0.04232,            0.047218,            0.006964,            0.006964,            0.006964
                  94,            0.039927,            0.044536,            0.020159,             0.74728,              0.1787,             0.21337,             0.11737,            0.054887,            0.042071,            0.047318,            0.006931,            0.006931,            0.006931
                  95,            0.039021,            0.041775,            0.021957,             0.83932,              0.1534,             0.20784,             0.10261,            0.056834,            0.042934,             0.04721,            0.006898,            0.006898,            0.006898
                  96,            0.040792,            0.044621,            0.019715,             0.70954,             0.17429,             0.19298,             0.10442,            0.055002,            0.043101,            0.047691,            0.006865,            0.006865,            0.006865
                  97,            0.039256,            0.037696,             0.02128,             0.67676,             0.15189,             0.17726,            0.092893,            0.057213,            0.044703,            0.048594,            0.006832,            0.006832,            0.006832
                  98,            0.039708,            0.045877,            0.019372,             0.72424,             0.13832,             0.18606,             0.11497,            0.055609,            0.044566,            0.049317,            0.006799,            0.006799,            0.006799
                  99,            0.037786,            0.041017,            0.022272,             0.80371,              0.1392,             0.18482,             0.10234,            0.055793,            0.043479,            0.050147,            0.006766,            0.006766,            0.006766
                 100,            0.038754,            0.040733,            0.018381,             0.82609,             0.14059,             0.19302,             0.10305,            0.056858,            0.043034,            0.049637,            0.006733,            0.006733,            0.006733
